[epoch 039] loss=1.1743 val_weighted_f1=0.4933 val_macro_f1=0.3031 time=1.5s per_class_f1={'neutral': 0.714, 'joy': 0.476, 'sadness': 0.035, 'anger': 0.317, 'surprise': 0.531, 'fear': 0.048, 'disgust': 0.0}
[epoch 040] loss=1.1724 val_weighted_f1=0.4943 val_macro_f1=0.3040 time=1.5s per_class_f1={'neutral': 0.714, 'joy': 0.484, 'sadness': 0.035, 'anger': 0.317, 'surprise': 0.529, 'fear': 0.048, 'disgust': 0.0}
[epoch 041] loss=1.1739 val_weighted_f1=0.4940 val_macro_f1=0.3030 time=1.5s per_class_f1={'neutral': 0.716, 'joy': 0.502, 'sadness': 0.035, 'anger': 0.29, 'surprise': 0.531, 'fear': 0.048, 'disgust': 0.0}
[epoch 042] loss=1.1692 val_weighted_f1=0.4953 val_macro_f1=0.3046 time=1.5s per_class_f1={'neutral': 0.715, 'joy': 0.498, 'sadness': 0.035, 'anger': 0.294, 'surprise': 0.542, 'fear': 0.048, 'disgust': 0.0}
[epoch 043] loss=1.1685 val_weighted_f1=0.4979 val_macro_f1=0.3071 time=1.5s per_class_f1={'neutral': 0.716, 'joy': 0.495, 'sadness': 0.035, 'anger': 0.31, 'surprise': 0.546, 'fear': 0.048, 'disgust': 0.0}
[epoch 044] loss=1.1683 val_weighted_f1=0.4977 val_macro_f1=0.3067 time=1.5s per_class_f1={'neutral': 0.717, 'joy': 0.503, 'sadness': 0.035, 'anger': 0.304, 'surprise': 0.541, 'fear': 0.048, 'disgust': 0.0}
[epoch 045] loss=1.1697 val_weighted_f1=0.4972 val_macro_f1=0.3068 time=1.5s per_class_f1={'neutral': 0.715, 'joy': 0.494, 'sadness': 0.035, 'anger': 0.31, 'surprise': 0.546, 'fear': 0.048, 'disgust': 0.0}
[epoch 046] loss=1.1590 val_weighted_f1=0.4994 val_macro_f1=0.3082 time=1.5s per_class_f1={'neutral': 0.717, 'joy': 0.505, 'sadness': 0.035, 'anger': 0.305, 'surprise': 0.548, 'fear': 0.048, 'disgust': 0.0}
[epoch 047] loss=1.1621 val_weighted_f1=0.5001 val_macro_f1=0.3089 time=1.5s per_class_f1={'neutral': 0.717, 'joy': 0.505, 'sadness': 0.035, 'anger': 0.31, 'surprise': 0.548, 'fear': 0.048, 'disgust': 0.0}
[epoch 048] loss=1.1633 val_weighted_f1=0.5008 val_macro_f1=0.3096 time=1.4s per_class_f1={'neutral': 0.718, 'joy': 0.498, 'sadness': 0.035, 'anger': 0.322, 'surprise': 0.546, 'fear': 0.048, 'disgust': 0.0}
[epoch 049] loss=1.1608 val_weighted_f1=0.5004 val_macro_f1=0.3094 time=1.5s per_class_f1={'neutral': 0.717, 'joy': 0.509, 'sadness': 0.035, 'anger': 0.308, 'surprise': 0.55, 'fear': 0.048, 'disgust': 0.0}
[epoch 050] loss=1.1617 val_weighted_f1=0.5010 val_macro_f1=0.3095 time=1.5s per_class_f1={'neutral': 0.718, 'joy': 0.505, 'sadness': 0.035, 'anger': 0.311, 'surprise': 0.55, 'fear': 0.048, 'disgust': 0.0}
[epoch 051] loss=1.1572 val_weighted_f1=0.5013 val_macro_f1=0.3099 time=1.5s per_class_f1={'neutral': 0.718, 'joy': 0.502, 'sadness': 0.035, 'anger': 0.317, 'surprise': 0.55, 'fear': 0.048, 'disgust': 0.0}
[epoch 052] loss=1.1557 val_weighted_f1=0.5010 val_macro_f1=0.3094 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.505, 'sadness': 0.035, 'anger': 0.31, 'surprise': 0.55, 'fear': 0.048, 'disgust': 0.0}
[epoch 053] loss=1.1581 val_weighted_f1=0.5012 val_macro_f1=0.3099 time=1.5s per_class_f1={'neutral': 0.718, 'joy': 0.508, 'sadness': 0.035, 'anger': 0.311, 'surprise': 0.55, 'fear': 0.048, 'disgust': 0.0}
[epoch 054] loss=1.1579 val_weighted_f1=0.5015 val_macro_f1=0.3097 time=1.5s per_class_f1={'neutral': 0.72, 'joy': 0.506, 'sadness': 0.035, 'anger': 0.306, 'surprise': 0.554, 'fear': 0.048, 'disgust': 0.0}
[epoch 055] loss=1.1497 val_weighted_f1=0.5021 val_macro_f1=0.3105 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.508, 'sadness': 0.035, 'anger': 0.308, 'surprise': 0.556, 'fear': 0.048, 'disgust': 0.0}
[epoch 056] loss=1.1563 val_weighted_f1=0.5023 val_macro_f1=0.3108 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.512, 'sadness': 0.035, 'anger': 0.308, 'surprise': 0.554, 'fear': 0.048, 'disgust': 0.0}
[epoch 057] loss=1.1571 val_weighted_f1=0.5021 val_macro_f1=0.3105 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.508, 'sadness': 0.035, 'anger': 0.308, 'surprise': 0.556, 'fear': 0.048, 'disgust': 0.0}
[epoch 058] loss=1.1544 val_weighted_f1=0.5023 val_macro_f1=0.3110 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.498, 'sadness': 0.035, 'anger': 0.318, 'surprise': 0.559, 'fear': 0.048, 'disgust': 0.0}
[epoch 059] loss=1.1577 val_weighted_f1=0.5017 val_macro_f1=0.3108 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.498, 'sadness': 0.052, 'anger': 0.304, 'surprise': 0.554, 'fear': 0.048, 'disgust': 0.0}
[epoch 060] loss=1.1556 val_weighted_f1=0.5034 val_macro_f1=0.3125 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.498, 'sadness': 0.052, 'anger': 0.316, 'surprise': 0.554, 'fear': 0.048, 'disgust': 0.0}
[epoch 061] loss=1.1632 val_weighted_f1=0.5039 val_macro_f1=0.3131 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.5, 'sadness': 0.052, 'anger': 0.313, 'surprise': 0.559, 'fear': 0.048, 'disgust': 0.0}
[epoch 062] loss=1.1630 val_weighted_f1=0.5033 val_macro_f1=0.3125 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.508, 'sadness': 0.052, 'anger': 0.31, 'surprise': 0.552, 'fear': 0.048, 'disgust': 0.0}
[epoch 063] loss=1.1504 val_weighted_f1=0.5033 val_macro_f1=0.3125 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.508, 'sadness': 0.052, 'anger': 0.31, 'surprise': 0.552, 'fear': 0.048, 'disgust': 0.0}
[epoch 064] loss=1.1585 val_weighted_f1=0.5023 val_macro_f1=0.3108 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.508, 'sadness': 0.035, 'anger': 0.31, 'surprise': 0.557, 'fear': 0.048, 'disgust': 0.0}
[epoch 065] loss=1.1529 val_weighted_f1=0.5033 val_macro_f1=0.3125 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.508, 'sadness': 0.052, 'anger': 0.31, 'surprise': 0.552, 'fear': 0.048, 'disgust': 0.0}
[epoch 066] loss=1.1499 val_weighted_f1=0.5056 val_macro_f1=0.3146 time=1.5s per_class_f1={'neutral': 0.72, 'joy': 0.5, 'sadness': 0.052, 'anger': 0.323, 'surprise': 0.559, 'fear': 0.048, 'disgust': 0.0}
[epoch 067] loss=1.1517 val_weighted_f1=0.5016 val_macro_f1=0.3100 time=1.5s per_class_f1={'neutral': 0.719, 'joy': 0.503, 'sadness': 0.035, 'anger': 0.306, 'surprise': 0.559, 'fear': 0.048, 'disgust': 0.0}
[epoch 068] loss=1.1504 val_weighted_f1=0.5049 val_macro_f1=0.3137 time=1.5s per_class_f1={'neutral': 0.72, 'joy': 0.505, 'sadness': 0.052, 'anger': 0.312, 'surprise': 0.559, 'fear': 0.048, 'disgust': 0.0}
[epoch 069] loss=1.1480 val_weighted_f1=0.5040 val_macro_f1=0.3130 time=1.5s per_class_f1={'neutral': 0.72, 'joy': 0.5, 'sadness': 0.052, 'anger': 0.312, 'surprise': 0.559, 'fear': 0.048, 'disgust': 0.0}
