[run] base_fusion_R_iemocap_seed42 (seed=42)
[epoch 033] loss=0.7284 val_weighted_f1=0.5614 val_macro_f1=0.5415 time=4.5s per_class_f1={'angry': 0.604, 'happy': 0.338, 'excited': 0.618, 'sad': 0.705, 'neutral': 0.414, 'frustrated': 0.571}
[epoch 034] loss=0.7226 val_weighted_f1=0.5611 val_macro_f1=0.5414 time=4.5s per_class_f1={'angry': 0.596, 'happy': 0.346, 'excited': 0.602, 'sad': 0.698, 'neutral': 0.43, 'frustrated': 0.575}
[epoch 035] loss=0.7217 val_weighted_f1=0.5617 val_macro_f1=0.5414 time=4.4s per_class_f1={'angry': 0.601, 'happy': 0.335, 'excited': 0.616, 'sad': 0.703, 'neutral': 0.421, 'frustrated': 0.572}
[epoch 036] loss=0.7151 val_weighted_f1=0.5632 val_macro_f1=0.5412 time=4.5s per_class_f1={'angry': 0.591, 'happy': 0.344, 'excited': 0.602, 'sad': 0.698, 'neutral': 0.422, 'frustrated': 0.591}
[epoch 037] loss=0.7068 val_weighted_f1=0.5598 val_macro_f1=0.5437 time=4.6s per_class_f1={'angry': 0.595, 'happy': 0.358, 'excited': 0.621, 'sad': 0.7, 'neutral': 0.424, 'frustrated': 0.564}
[epoch 038] loss=0.7079 val_weighted_f1=0.5600 val_macro_f1=0.5432 time=4.4s per_class_f1={'angry': 0.598, 'happy': 0.358, 'excited': 0.616, 'sad': 0.7, 'neutral': 0.42, 'frustrated': 0.567}
[epoch 039] loss=0.7053 val_weighted_f1=0.5579 val_macro_f1=0.5410 time=4.5s per_class_f1={'angry': 0.594, 'happy': 0.353, 'excited': 0.616, 'sad': 0.7, 'neutral': 0.417, 'frustrated': 0.565}
[epoch 040] loss=0.7014 val_weighted_f1=0.5600 val_macro_f1=0.5420 time=4.4s per_class_f1={'angry': 0.6, 'happy': 0.361, 'excited': 0.607, 'sad': 0.692, 'neutral': 0.418, 'frustrated': 0.573}
[epoch 041] loss=0.6927 val_weighted_f1=0.5586 val_macro_f1=0.5402 time=4.5s per_class_f1={'angry': 0.608, 'happy': 0.344, 'excited': 0.615, 'sad': 0.698, 'neutral': 0.414, 'frustrated': 0.563}
[epoch 042] loss=0.6946 val_weighted_f1=0.5602 val_macro_f1=0.5399 time=4.5s per_class_f1={'angry': 0.6, 'happy': 0.347, 'excited': 0.614, 'sad': 0.684, 'neutral': 0.422, 'frustrated': 0.573}
[epoch 043] loss=0.6913 val_weighted_f1=0.5580 val_macro_f1=0.5415 time=4.4s per_class_f1={'angry': 0.603, 'happy': 0.348, 'excited': 0.634, 'sad': 0.696, 'neutral': 0.413, 'frustrated': 0.555}
