[run] base_fusion_R_k0_seed42 k=0 flags={'relational': False, 'shift': False, 'temporal': False, 'residual': True} text_cache_subdir=text_ctx_k0
[epoch 009] loss=0.8702 val_weighted_f1=0.5799 val_macro_f1=0.4257 time=7.5s per_class_f1={'neutral': 0.763, 'joy': 0.554, 'sadness': 0.305, 'anger': 0.37, 'surprise': 0.625, 'fear': 0.12, 'disgust': 0.242}
[epoch 010] loss=0.8703 val_weighted_f1=0.5847 val_macro_f1=0.4317 time=7.6s per_class_f1={'neutral': 0.764, 'joy': 0.553, 'sadness': 0.315, 'anger': 0.403, 'surprise': 0.617, 'fear': 0.12, 'disgust': 0.25}
[epoch 011] loss=0.8662 val_weighted_f1=0.5801 val_macro_f1=0.4253 time=7.6s per_class_f1={'neutral': 0.766, 'joy': 0.552, 'sadness': 0.311, 'anger': 0.368, 'surprise': 0.619, 'fear': 0.12, 'disgust': 0.242}
[epoch 012] loss=0.8562 val_weighted_f1=0.5815 val_macro_f1=0.4268 time=7.5s per_class_f1={'neutral': 0.768, 'joy': 0.552, 'sadness': 0.309, 'anger': 0.373, 'surprise': 0.618, 'fear': 0.118, 'disgust': 0.25}
[epoch 013] loss=0.8480 val_weighted_f1=0.5781 val_macro_f1=0.4149 time=7.5s per_class_f1={'neutral': 0.764, 'joy': 0.56, 'sadness': 0.287, 'anger': 0.381, 'surprise': 0.615, 'fear': 0.115, 'disgust': 0.182}
[epoch 014] loss=0.8512 val_weighted_f1=0.5813 val_macro_f1=0.4261 time=7.6s per_class_f1={'neutral': 0.765, 'joy': 0.557, 'sadness': 0.298, 'anger': 0.389, 'surprise': 0.613, 'fear': 0.118, 'disgust': 0.242}
[epoch 015] loss=0.8362 val_weighted_f1=0.5938 val_macro_f1=0.4393 time=7.6s per_class_f1={'neutral': 0.771, 'joy': 0.568, 'sadness': 0.323, 'anger': 0.429, 'surprise': 0.611, 'fear': 0.122, 'disgust': 0.25}
[epoch 016] loss=0.8320 val_weighted_f1=0.5876 val_macro_f1=0.4270 time=7.5s per_class_f1={'neutral': 0.768, 'joy': 0.573, 'sadness': 0.317, 'anger': 0.396, 'surprise': 0.616, 'fear': 0.125, 'disgust': 0.194}
[epoch 017] loss=0.8217 val_weighted_f1=0.5861 val_macro_f1=0.4347 time=7.6s per_class_f1={'neutral': 0.76, 'joy': 0.557, 'sadness': 0.329, 'anger': 0.415, 'surprise': 0.614, 'fear': 0.118, 'disgust': 0.25}
[epoch 018] loss=0.8182 val_weighted_f1=0.5817 val_macro_f1=0.4194 time=7.6s per_class_f1={'neutral': 0.77, 'joy': 0.562, 'sadness': 0.307, 'anger': 0.36, 'surprise': 0.621, 'fear': 0.128, 'disgust': 0.188}
[epoch 019] loss=0.8106 val_weighted_f1=0.5900 val_macro_f1=0.4303 time=7.6s per_class_f1={'neutral': 0.77, 'joy': 0.556, 'sadness': 0.327, 'anger': 0.428, 'surprise': 0.606, 'fear': 0.125, 'disgust': 0.2}
[epoch 020] loss=0.7989 val_weighted_f1=0.5841 val_macro_f1=0.4186 time=7.6s per_class_f1={'neutral': 0.767, 'joy': 0.562, 'sadness': 0.312, 'anger': 0.402, 'surprise': 0.615, 'fear': 0.085, 'disgust': 0.188}
[epoch 021] loss=0.7851 val_weighted_f1=0.5912 val_macro_f1=0.4386 time=7.6s per_class_f1={'neutral': 0.775, 'joy': 0.566, 'sadness': 0.353, 'anger': 0.406, 'surprise': 0.581, 'fear': 0.122, 'disgust': 0.267}
[epoch 022] loss=0.7765 val_weighted_f1=0.5858 val_macro_f1=0.4264 time=7.6s per_class_f1={'neutral': 0.763, 'joy': 0.576, 'sadness': 0.319, 'anger': 0.394, 'surprise': 0.615, 'fear': 0.13, 'disgust': 0.188}
[epoch 023] loss=0.7732 val_weighted_f1=0.5938 val_macro_f1=0.4408 time=7.6s per_class_f1={'neutral': 0.769, 'joy': 0.549, 'sadness': 0.359, 'anger': 0.438, 'surprise': 0.603, 'fear': 0.125, 'disgust': 0.242}
[epoch 024] loss=0.7577 val_weighted_f1=0.5862 val_macro_f1=0.4352 time=7.6s per_class_f1={'neutral': 0.765, 'joy': 0.547, 'sadness': 0.341, 'anger': 0.412, 'surprise': 0.602, 'fear': 0.122, 'disgust': 0.258}
[epoch 025] loss=0.7428 val_weighted_f1=0.5964 val_macro_f1=0.4411 time=7.6s per_class_f1={'neutral': 0.765, 'joy': 0.576, 'sadness': 0.37, 'anger': 0.431, 'surprise': 0.608, 'fear': 0.13, 'disgust': 0.207}
[epoch 026] loss=0.7374 val_weighted_f1=0.5934 val_macro_f1=0.4445 time=7.6s per_class_f1={'neutral': 0.765, 'joy': 0.551, 'sadness': 0.352, 'anger': 0.445, 'surprise': 0.607, 'fear': 0.125, 'disgust': 0.267}
[epoch 027] loss=0.7166 val_weighted_f1=0.5878 val_macro_f1=0.4372 time=7.6s per_class_f1={'neutral': 0.764, 'joy': 0.565, 'sadness': 0.327, 'anger': 0.416, 'surprise': 0.598, 'fear': 0.13, 'disgust': 0.258}
[epoch 028] loss=0.7158 val_weighted_f1=0.5821 val_macro_f1=0.4211 time=7.5s per_class_f1={'neutral': 0.763, 'joy': 0.544, 'sadness': 0.339, 'anger': 0.411, 'surprise': 0.599, 'fear': 0.091, 'disgust': 0.2}
[epoch 029] loss=0.7040 val_weighted_f1=0.5999 val_macro_f1=0.4492 time=7.8s per_class_f1={'neutral': 0.77, 'joy': 0.566, 'sadness': 0.358, 'anger': 0.452, 'surprise': 0.61, 'fear': 0.13, 'disgust': 0.258}
[epoch 030] loss=0.6972 val_weighted_f1=0.5813 val_macro_f1=0.4250 time=8.1s per_class_f1={'neutral': 0.761, 'joy': 0.537, 'sadness': 0.343, 'anger': 0.417, 'surprise': 0.586, 'fear': 0.13, 'disgust': 0.2}
[epoch 031] loss=0.6786 val_weighted_f1=0.5827 val_macro_f1=0.4256 time=8.1s per_class_f1={'neutral': 0.765, 'joy': 0.546, 'sadness': 0.335, 'anger': 0.405, 'surprise': 0.598, 'fear': 0.087, 'disgust': 0.242}
[epoch 032] loss=0.6650 val_weighted_f1=0.5804 val_macro_f1=0.4257 time=8.1s per_class_f1={'neutral': 0.754, 'joy': 0.534, 'sadness': 0.344, 'anger': 0.445, 'surprise': 0.578, 'fear': 0.125, 'disgust': 0.2}
[epoch 033] loss=0.6576 val_weighted_f1=0.5846 val_macro_f1=0.4215 time=8.1s per_class_f1={'neutral': 0.762, 'joy': 0.534, 'sadness': 0.319, 'anger': 0.452, 'surprise': 0.607, 'fear': 0.089, 'disgust': 0.188}
[epoch 034] loss=0.6424 val_weighted_f1=0.5886 val_macro_f1=0.4404 time=8.1s per_class_f1={'neutral': 0.759, 'joy': 0.549, 'sadness': 0.352, 'anger': 0.426, 'surprise': 0.611, 'fear': 0.128, 'disgust': 0.258}
[epoch 035] loss=0.6396 val_weighted_f1=0.5868 val_macro_f1=0.4384 time=8.0s per_class_f1={'neutral': 0.76, 'joy': 0.539, 'sadness': 0.366, 'anger': 0.421, 'surprise': 0.599, 'fear': 0.125, 'disgust': 0.258}
[epoch 036] loss=0.6291 val_weighted_f1=0.5740 val_macro_f1=0.4165 time=8.1s per_class_f1={'neutral': 0.76, 'joy': 0.532, 'sadness': 0.294, 'anger': 0.414, 'surprise': 0.586, 'fear': 0.087, 'disgust': 0.242}
[epoch 037] loss=0.6112 val_weighted_f1=0.5731 val_macro_f1=0.4183 time=8.3s per_class_f1={'neutral': 0.754, 'joy': 0.523, 'sadness': 0.305, 'anger': 0.409, 'surprise': 0.605, 'fear': 0.089, 'disgust': 0.242}
[epoch 038] loss=0.6039 val_weighted_f1=0.5792 val_macro_f1=0.4252 time=8.1s per_class_f1={'neutral': 0.756, 'joy': 0.542, 'sadness': 0.322, 'anger': 0.431, 'surprise': 0.586, 'fear': 0.089, 'disgust': 0.25}
[epoch 039] loss=0.5901 val_weighted_f1=0.5786 val_macro_f1=0.4230 time=8.2s per_class_f1={'neutral': 0.755, 'joy': 0.538, 'sadness': 0.317, 'anger': 0.431, 'surprise': 0.589, 'fear': 0.13, 'disgust': 0.2}
[trainer] early stopping at epoch 39 (patience=10)
